pronunciation,kana,kanji,meaning
ouka,おうか,謳歌,"rejoicing, glorification, exultation, celebration, enjoyment, singing praises"
kenasu,けなす,貶す,"to speak ill of, to disparage"
sainokawara,さいのかわら,賽の河原,"Children's Limbo"
eiyo,えいよ,贏余,"remainder"
motarasu,もたらす,齎す,"to bring, to take, to bring about"
hiiki,ひいき,贔屓,"favour, favor, patronage, favouritism, favoritism, partiality"
hiikinisuru,ひいきにする,贔屓にする,"to favor, to favour, to show favor to, to show favour to, to be partial to, to be a regular customer of"
hiikime,ひいきめ,贔屓目,"seeing things in a favourable light (favorable)"
kakato,かかと,踵,"heel (of foot, shoe, stocking, etc.)"
satetu,さてつ,蹉跌,"failure, stumbling, setback"
souutu,そううつ,躁鬱,"manic depression, mood swing"
tamerai,ためらい,躊躇い,"faltering, hesitation"
tamerau,ためらう,躊躇う,"to hesitate, to waver"
situke,しつけ,躾,"discipline, training, teaching manners"
situkeru,しつける,躾ける,"to train, to discipline, to teach manners"
situkekata,しつけかた,しつけ方,"way of training, method of bringing up children"
kisimu,きしむ,軋む,"to jar, to creak, to grate"
kisiru,きしる,軋る,"to creak, to squeak, to grate, to grind, to rasp"
atureki,あつれき,軋轢,"friction, discord, strife"
hukusou,ふくそう,輻輳,"congestion (e.g. traffic), overcrowding"
sori,そり,橇,"sleigh, sled, sledge"
rokuro,ろくろ,轆轤,"lathe"
hikikorosu,ひきころす,轢き殺す,"to kill by running over"
rekisi,れきし,轢死,"death by being run over"
heki,へき,辟,"false, punish, crime, law, ruler"
hekieki,へきえき,辟易,"to be stumped, to be nonplussed, to be disconcerted, to dumbfounded"
takumasii,たくましい,逞しい,"burly, strong, sturdy"
kaikou,かいこう,邂逅,"chance meeting"
meitei,めいてい,酩酊,"drunkenness, intoxication"
moromi,もろみ,諸味,"main fermenting mash (in production of sake or soy sauce), unrefined sake or soy sauce"
mori,もり,銛,"lance, harpoon"
hasami,はさみ,鋏,"scissors, shears, clippers"
hari,はり,鍼,"(acupuncture) needle"
ousatu,おうさつ,鏖殺,"massacre, extermination"
yasuri,やすり,鑢,"file, rasp"
nomi,のみ,鑿,"chisel"
sakusei,さくせい,鑿井,"well drilling"
airo,あいろ,隘路,"defile, narrow path"
arare,あられ,霰,"hail (esp. hailballs under 5 mm), graupel"
hekireki,へきれき,霹靂,"thunder, thunderclap"
moya,もや,靄,"mist, haze"
aitai,あいたい,靉靆,"trailing (clouds), thick, heavy"
toukai,とうかい,韜晦,"hidden (talents, etc.), self-concealment, self-effacement"
aeru,あえる,和える,"to dress (vegetables, salad, etc.)"
isi,いし,頤使,"bossing someone around, having a person under one's control"
sikameru,しかめる,顰める,"to pull a wry face, to screw one's face up, to pucker one's face, to scowl, to grimace, to frown"
orosi,おろし,颪,"wind blowing down from mountains"
hanamuke,はなむけ,餞,"farewell gift, parting gift, viaticum"
sueru,すえる,饐える,"to go bad, to turn sour"
kisoku,きそく,驥足,"full ability"
saikoro,さいころ,骰子,"dice, die"
hiniku,ひにく,髀肉,"round meat, meat from a pig's thigh (from which ham is made)"
unasareru,うなされる,魘される,"to have a nightmare"
koti,こち,鯒,"flathead (esp. the bartailed flathead, Platycephalus indicus)"
surume,するめ,鯣,"dried squid, dried cuttlefish"
era,えら,鰓,"gills, branchia"
sawara,さわら,鰆,"Japanese Spanish mackerel (Scomberomorus niphonius)"
karei,かれい,鰈,"righteye flounder (any fish of family Pleuronectidae)"
hatahata,はたはた,鰰,"sailfin sandfish (Arctoscopus japonicus), Japanese sandfish"
kisu,きす,鱚,"sillago (any fish of genus Sillago, esp. the Japanese whiting, Sillago japonica)"
hamo,はも,鱧,"daggertooth pike conger (Muraenesox cinereus)"
huka,ふか,鱶,"(large) shark"
sekirei,せきれい,鶺鴒,"any bird of family Motacillidae (excluding the pipits), wagtail, longclaw"
oumu,おうむ,鸚鵡,"(large) parrot (incl. the cockatoo)"
husuma,ふすま,麬,"wheat bran"
husitu,ふしつ,麩質,"gluten"
reimei,れいめい,黎明,"daybreak, dawn, gray of the morning (grey)"
moti,もち,黐,"birdlime"
itati,いたち,鼬,"weasel (esp. the Japanese weasel, Mustela itatsi)"
koma,こま,齣,"frame (e.g. of film, panel in a comic, etc.)"
komaotosi,こまおとし,齣落,"time-lapse photography"
akuseku,あくせく,齷齪,"busily, sedulously, laboriously, feverishly, fussily, worrying (about little things)"
maki,まき,槙,"yew plum pine (Podocarpus macrophyllus)"
aiso,あいそ,愛想,"amiability, friendliness, affability, sociability"
akuti,あくち,悪血,"impure blood"
tuwari,つわり,悪阻,"morning sickness, hyperemesis gravidarum"
akuniti,あくにち,悪日,"unlucky day"
akuheki,あくへき,悪癖,"bad habit, vice"
akumei,あくめい,悪名,"bad reputation, ill repute, bad name, notoriety"
akumeitakai,あくめいたかい,悪名高い,"infamous, notorious"
yamiyo,やみよ,闇夜,"dark night, moonless night"
yokoito,よこいと,横糸,"weft, woof (crosswise threads on a loom)"
i,い,亥,"the Boar (twelfth sign of the Chinese zodiac), the Pig"
hitokoto,ひとこと,一言,"single word, a few words, brief comment"
ototoi,おととい,一昨日,"day before yesterday"
ototosi,おととし,一昨年,"year before last"
hitoyama,ひとやま,一山,"one mountain"
hitori,ひとり,一人,"one person"
hitokumi,ひとくみ,一組,"one class, one set, a pair, a suite, a series"
itiniti,いちにち,一日,"one day"
itimotu,いちもつ,一物,"plot, ulterior motive, secret intention"
itiya,いちや,一夜,"one night, all night, overnight, one evening"
soreru,それる,逸れる,"to turn away, to bear off, to veer away, to swerve from, to miss (e.g. a target)"
amake,あまけ,雨気,"signs of rain, threatening to rain"
amaasi,あまあし,雨脚,"passing shower, streaks of pouring rain"
amamoyou,あまもよう,雨模様,"signs of rain, threat of rain"
u,う,卯,"the Rabbit (fourth sign of the Chinese zodiac), the Hare"
kumoasi,くもあし,雲脚,"cloud movements"
eki,えき,益,"benefit, use, good, advantage, gain"
sio,しお,塩,"salt (i.e. sodium chloride), common salt, table salt"
okuti,おくち,奥地,"interior, backwoods, hinterland, back regions"
okusoko,おくそこ,奥底,"depths, deep place"
ouhuu,おうふう,横風,"arrogant, haughty"
ou,おう,翁,"old man, venerable gentleman"
kiiro,きいろ,黄色,"yellow, amber"
ousui,おうすい,黄水,"bile, gall"
kounetu,こうねつ,黄熱,"yellow fever"
ouma,おうま,黄麻,"jute"
ituya,いつや,乙夜,"second division of the night (approx. 9pm to 11pm)"
ore,おれ,俺,"I, me"
orera,おれら,俺ら,"we, us"
oto,おと,音,"sound, noise, report"
neiro,ねいろ,音色,"tone color, tone colour, tone quality, timbre"
kahai,かはい,下輩,"inferior, low-class person"
kasu,かす,化す,"to change into, to convert to, to transform, to be reduced, to influence, to improve (someone)"
kasui,かすい,仮睡,"nap, siesta"
kamei,かめい,仮名,"alias, pseudonym, pen name, nom de plume"
nani,なに,何,"what"
nanise,なにせ,何せ,"at any rate, anyhow"
kawaii,かわいい,可愛い,"cute, adorable, charming, lovely, pretty"
atara,あたら,可惜,"alas, regrettably, to my great regret, tragically"
natukusa,なつくさ,夏草,"summer grass"
iei,いえい,家居,"staying at home"
serihu,せりふ,台詞,"speech, words, one's lines, remarks"
hima,ひま,暇,"spare time, free time, leisure"
kakou,かこう,河口,"mouth of river, estuary"
nieki,にえき,荷役,"handling cargo, loading and unloading"
esi,えし,画師,"painter, artist, painter supported by patron"
ema,えま,絵馬,"votive picture (originally of horse)"
kaeru,かえる,蛙,"frog"
kakukai,かくかい,各回,"each time"
kakukou,かくこう,各項,"each item, each clause"
kakukai,かくかい,角界,"the world of sumo"
karaseki,からせき,乾咳,"dry cough, hacking cough"
karei,かれい,乾飯,"dried boiled rice"
miki,みき,幹,"(tree) trunk, (arrow) shaft, (tool) handle, backbone, base"
nisesatu,にせさつ,偽札,"counterfeit paper money"
nisemono,にせもの,偽物,"spurious article, forgery, counterfeit, imitation, sham"
kataki,かたき,敵,"rival, opponent, adversary, competitor, enemy (esp. one with which there is longstanding enmity), foe"
iru,いる,居る,"to be (of animate objects), to exist"
oru,おる,居る,"to be (animate), to be, to exist"
sakana,さかな,魚,"fish"
tomo,とも,共,"together with"
katamuku,かたむく,傾く,"to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to"
keimai,けいまい,兄妹,"older brother and younger sister"
karoyaka,かろやか,軽やか,"light, easy, non-serious, minor"
tosaka,とさか,鶏冠,"cockscomb, crest"
iyaki,いやき,嫌気,"dislike, disgust, disinclination, tired of"
mie,みえ,見栄,"airs, pretensions, show, ostentation, display, appearance, vanity, charm"
turu,つる,弦,"bowstring"
koka,こか,古歌,"old poem (esp. waka), old song"
kositu,こしつ,固執,"sticking to (an opinion, theory, belief, etc.), clinging to, adherence, persistence, insistence"
ki,き,己,"6th in rank, sixth sign of the Chinese calendar"
itue,いつえ,五重,"five-storied, quintuplicate, fivefold"
husi,ふし,五倍子,"sumac gallnut"
atoato,あとあと,後々,"future, distant future"
kou,こう,公,"public matter, governmental matter"
kousikisiai,こうしきしあい,公式試合,"championship match"
koukou,こうこう,口腔,"oral cavity, mouth"
kanoe,かのえ,庚,"7th in rank, seventh sign of the Chinese calendar"
kou,こう,甲,"carapace, shell"
kurenai,くれない,紅,"deep red, crimson"
kouyou,こうよう,紅葉,"autumn colours, fall colors, leaves changing color (colour)"
iki,いき,行き,"the way there, outbound leg, outbound trip, departing leg"
ikikata,いきかた,行き方,"way (of going), route"
yukiki,ゆきき,行き来,"coming and going, keeping in touch, visiting each other"
iku,いく,行く,"to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach"
yukusue,ゆくすえ,行く末,"one's future, one's fate"
koumei,こうめい,高名,"fame, renown"
kou,こう,劫,"kalpa (eon, aeon)"
kokui,こくい,黒衣,"black clothes"
kurokumo,くろくも,黒雲,"dark clouds, black clouds"
kurokuma,くろくま,黒熊,"black bear"
kurosiro,くろしろ,黒白,"black and white, right and wrong"
kurokami,くろかみ,黒髪,"black hair"
kuroho,くろほ,黒穂,"smut"
koitu,こいつ,此奴,"he, she, this fellow, this guy, this person"
koro,ころ,頃,"(approximate) time, around, about, toward"
kesa,けさ,今朝,"this morning"
kotosi,ことし,今年,"this year"
kouya,こうや,紺屋,"dyer"
tamasii,たましい,魂,"soul, spirit"
kana,かな,哉,"how!, what!, alas!"
saitei,さいてい,裁定,"decision, ruling, award, arbitration"
tukurisokonau,つくりそこなう,作り損なう,"to fail in making"
kinou,きのう,昨日,"yesterday"
ouka,おうか,桜花,"cherry blossom"
sake,さけ,鮭,"salmon (Salmonidae spp.)"
saturiku,さつりく,殺戮,"slaughter, massacre"
minanuka,みなぬか,三七日,"21st day after death, 21st day after birth"
si,し,四,"four"
simai,しまい,姉妹,"sisters"
siwasu,しわす,師走,"twelfth month (esp. of the lunar calendar), December"
sikou,しこう,施行,"execution, enforcing, carrying out"
siyou,しよう,枝葉,"branches and leaves, foliage"
siika,しいか,詩歌,"Japanese and Chinese poetry"
situu,しつう,歯痛,"toothache"
siniku,しにく,歯肉,"gums, tooth ridge"
nanairo,なないろ,七色,"the seven prismatic colors (colours)"
nanoka,なのか,七日,"seventh day of the month"
ite,いて,射手,"archer, shooter, bowman"
omone,おもね,主根,"main root, taproot"
omoni,おもに,重荷,"load, heavy burden, encumbrance, heavy freight, heavy responsibility"
tenohira,てのひら,手のひら,"palm (of one's hand)"
uwamuki,うわむき,上向き,"pointing up, pointing upward, upturn, uptrend, upward tendency"
uwamuku,うわむく,上向く,"to point upward, to look upward"
uwate,うわて,上手,"upper part"
kamituyo,かみつよ,上世,"antiquity, ancient times"
uwakawa,うわかわ,上側,"upper side, surface"
uwakawa,うわかわ,上皮,"outer layer (e.g. of skin), cuticle, epidermis, bark, rind, crust, film (on the surface of a liquid), scum"
uwasiki,うわしき,上敷き,"bordered matting, rug, carpet"
uesama,うえさま,上様,"emperor, shogun"
amatusae,あまつさえ,剰え,"besides, moreover, in addition"
seiro,せいろ,蒸籠,"bamboo steamer, steaming basket, wooden frame holder with reed base used to steam food over a pot"
makoto,まこと,誠,"truth, reality"
kanoto,かのと,辛,"8th in rank, eighth sign of the Chinese calendar"
hito,ひと,人,"man, person"
hitome,ひとめ,人目,"public gaze, public notice, attention"
soti,そち,帥,"director of the Dazaifu"
suiyaku,すいやく,水薬,"potion, liquid medicine"
suu,すう,数,"several, a number of"
seiko,せいこ,世故,"worldly affairs"
seihou,せいほう,西方,"western direction"
isiwata,いしわた,石綿,"asbestos"
akairo,あかいろ,赤色,"red, red color (colour)"
kirihata,きりはた,切り畑,"hillside farm, fallow ground"
sakiyuki,さきゆき,先行き,"the future, future prospects"
tiyo,ちよ,千代,"thousand years"
yoriwakeru,よりわける,選り分ける,"to classify, to sort out, to sift through"
maeasi,まえあし,前足,"forefoot, forefeet, foreleg, forelimb"
yosiasi,よしあし,良し悪し,"right or wrong, good or bad, quality, suitability"
hii,ひい,曾,"great (i.e. great-grandson, great-grandmother)"
katute,かつて,嘗て,"once, before, formerly, ever, former, ex-"
sousohu,そうそふ,曾祖父,"great-grandfather, great-granddad, great-grandad"
hokora,ほこら,祠,"hokora, small wayside shrine"
kusaki,くさき,草木,"plants, vegetation"
asiato,あしあと,足跡,"footprints"
seiei,せいえい,尊影,"portrait"
tasiseisei,たしせいせい,多士済々,"galaxy of able persons, collection of intellectuals"
utinomesu,うちのめす,打ちのめす,"to knock down, to beat (someone) up"
utikomu,うちこむ,打ち込む,"to drive in (e.g. nail, stake), to hammer in"
taikaku,たいかく,台閣,"tall building, the cabinet"
takusi,たくし,卓子,"table"
tako,たこ,凧,"kite"
tatumi,たつみ,辰巳,"southeast"
tani,たに,谷,"valley"
hasi,はし,端,"end (e.g. of street), tip, point, edge, margin"
atai,あたい,値,"price, cost"
hiruma,ひるま,昼間,"daytime, during the day, time from sunrise until sunset, diurnal period"
tei,てい,丁,"fourth rank, fourth class, fourth party (in a contract, etc.)"
tomurai,とむらい,弔い,"funeral, burial, condolence"
tomurau,とむらう,弔う,"to mourn for, to grieve for, to condole with (the bereaved family, etc.)"
asamesi,あさめし,朝飯,"breakfast"
soriotosu,そりおとす,剃り落とす,"to shave off the hair"
soru,そる,剃る,"to shave"
suritate,すりたて,剃立て,"clean shaven, freshly shaven"
teisi,ていし,呈示,"exhibition"
otouto,おとうと,弟,"younger brother, little brother, kid brother"
otoutoyome,おとうとよめ,弟嫁,"younger brother's wife"
otoutomusuko,おとうとむすこ,弟息子,"younger sons"
